2024/12/12 06:38:28 200 |      31.334µs |     [::1]:34570 | GET     /
2024/12/12 06:39:49 200 |      93.904µs |     [::1]:45214 | GET     /
2024/12/12 06:40:02 200 |      94.832µs |     [::1]:52528 | GET     /
2024/12/12 07:00:34 200 |      39.706µs |     [::1]:33698 | GET     /
2024/12/12 07:03:38 200 |      45.336µs |     [::1]:47714 | GET     /
2024/12/12 08:57:57 200 |     360.582µs |     [::1]:52418 | GET     /
2024/12/12 20:38:48 200 |      33.583µs |     [::1]:52870 | GET     /
2024/12/12 20:46:25 200 |      53.458µs |     [::1]:46014 | GET     /
2024/12/12 20:50:40 200 |      30.754µs |     [::1]:36720 | GET     /
2024/12/13 12:47:01 204 |         510ns |     [::1]:36490 | OPTIONS /
2024/12/13 12:47:01 204 |     258.039µs |     [::1]:36490 | OPTIONS /
2024/12/13 12:47:01 200 |     263.533µs |     [::1]:36490 | GET     /
2024/12/13 12:47:01 200 |     730.561µs |     [::1]:36490 | GET     /
2024/12/13 12:47:01 200 |     855.649µs |     [::1]:36490 | GET     /
2024/12/13 12:47:01 200 |    1.051514ms |     [::1]:36490 | GET     /
2024/12/13 12:47:01 200 |    1.166978ms |     [::1]:36490 | GET     /
2024/12/13 12:50:08 200 |      62.747µs |     [::1]:36490 | GET     /
2024/12/13 12:50:08 200 |      329.82µs |     [::1]:36490 | GET     /
2024/12/13 12:50:08 200 |     437.072µs |     [::1]:36490 | GET     /
2024/12/13 12:50:08 200 |     625.985µs |     [::1]:36490 | GET     /
2024/12/13 12:50:08 200 |     696.555µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |      54.984µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     343.624µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     590.847µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |      809.52µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     961.231µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     109.213µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     728.791µs |     [::1]:36490 | GET     /
2024/12/13 12:50:09 200 |     992.227µs |     [::1]:36490 | GET     /
